row_insert_order,PreviousDayDate,Symbol_Input,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,maxAge,priceHint,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,volume,regularMarketVolume,averageVolume,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,enterpriseValue,floatShares,sharesOutstanding,heldPercentInsiders,heldPercentInstitutions,impliedSharesOutstanding,bookValue,priceToBook,earningsQuarterlyGrowth,trailingEps,forwardEps,52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,totalCash,totalCashPerShare,ebitda,totalDebt,averageVolume10days,averageDailyVolume10Day,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,profitMargins,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,trailingPE,forwardPE,symbol,shortName,longName,industry,sector,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,Today_Growth,Calculated_Score,Score_Recommendation,Conservative_Invs_Recom,Conservative_Invs_Reson,Growth_Invs_Recom,Growth_Invs_Reson,Momentum_Invs_Recom,Momentum_Invs_Reson
882622,2026-01-21 19:32:31,1STCUS.BO,6.0,0,0,0,0,0,86400.0,2.0,72.61,70.0,84.5,1.0,1.32,2025-09-18,0.3704,0,-0.354,1819.0,1819.0,502.0,0.02484,0.026619999,0,26837088.0,100.1748,1.0,0.013157895,84476720.0,557276.0,1500000.0,0.60271,0.0,1500000.0,103.096,0.6813067,-0.957,2.7,0,-0.4528438,1.0,2025-09-18,BSE,EQUITY,28920190.0,19.466,0,482648.0,437.0,437.0,105360000.0,68.8,172.05,7.0542154,86.086,5.744,5.744,14935750.0,0.315,10.053,-0.957,-0.719,0.86849,0.0,0.09463,0.27069,76.0,72.61,70.0,84.5,76.0,26.014814,0,1STCUS.BO,FIRST CUSTODIAN FUND (INDIA) L,The First Custodian Fund (I) Ltd.,Capital Markets,Financial Services,70.24,0,0,0,0,0,none,0,-7.58,3.0,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum)
882623,2026-01-21 19:32:31,20MICRONS.BO,411.0,0,0,0,0,0,86400.0,2.0,170.0,170.0,178.65,1.25,0.71,2025-07-24,0.070700005,0,0.517,15960.0,15960.0,33111.0,0.09020001,0.14787,69552752.0,984796992.0,218.1825,0.0,0.0,7343471104.0,15014148.0,35286502.0,0.54675996,0.00016000001,35286503.0,128.709,1.355383,0.06,17.69,0,-0.22803575,1.25,2025-07-24,BSE,EQUITY,583459968.0,16.503,1175332992.0,1633657984.0,6657.0,6657.0,6155730432.0,158.0,284.1,0.6690694,195.991,0.924,1.782,9200436224.0,35.637,260.792,0.058,-0.039,0.47194,0.12775,0.11436,0.067779996,177.05,170.0,170.0,178.65,177.05,9.861504,0,20MICRONS.BO,20 MICRONS LTD.,20 Microns Limited,Other Industrial Metals & Mining,Basic Materials,174.45,0,0,0,0,0,none,0,-1.47,4.1,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<2) indicates potential for growth,None,None,Hold,Trading near its 52-week low (bearish momentum)
882624,2026-01-21 19:32:31,21STCENMGM.BO,10.0,0,0,0,0,0,86400.0,2.0,43.86,43.86,43.86,2.5,4.18,2024-07-26,0.0,0,0.676,1.0,1.0,2575.0,-0.13921,-0.28151,186043120.0,-345291008.0,57.76025,0.0,0.0,465079744.0,2995000.0,10500000.0,0.72415,0.0,10500000.0,45.206,0.97022516,0,-19.14,0,-0.46795863,2.5,2024-07-26,BSE,EQUITY,4825000.0,0.459,-172231008.0,0.0,505.0,505.0,460530016.0,38.62,87.4,-3.3917367,45.88,5.25,7.873,-135780000.0,0,-12.936,0,0,0.0,0.0,1.09396,0.0,44.75,43.86,43.86,43.86,44.75,0,0,21STCENMGM.BO,TWENTYFIRST CENTURY MANAGEMENT,Twentyfirst Century Management Services Limited,Capital Markets,Financial Services,43.86,0,0,0,0,0,none,0,-1.99,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,None,None,Hold,Trading near its 52-week low (bearish momentum)
882625,2026-01-21 19:32:31,360ONE.BO,1207.0,0,0,0,0,0,86400.0,2.0,1121.05,1089.25,1133.0,12.0,1.06,2025-10-27,0.42110002,3.06,0.334,26372.0,26372.0,26332.0,0,0,0,0,1084.3733,12.0,0.010639713,581687508992.0,258377028.0,405270365.0,0.17475,0.67968005,405270365.0,231.141,4.7384496,0.184,28.53,35.72566,-0.013168275,6.0,2025-10-27,BSE,EQUITY,12794300416.0,31.587,26159175680.0,137646702592.0,58364.0,58364.0,443872378880.0,766.05,1272.95,10.495694,1144.763,0,0,42290900992.0,147.235,105.875,0.124,0.306,0.72015,0.61855,0.59264,0.27832,1127.85,1121.05,1089.25,1133.0,1127.85,38.389412,30.657238,360ONE.BO,360 ONE WAM LIMITED,360 One Wam Limited,Asset Management,Financial Services,1095.25,1700.0,1300.0,1396.7273,1380.0,1.36364,strong_buy,11.0,-2.89,2.9,Hold,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%)- Highly Profitable with margins > 20%,Hold,No strong momentum
882626,2026-01-21 19:32:31,3IINFOLTD.BO,4552.0,0,0,0,0,0,86400.0,2.0,14.5,14.5,14.97,0,0,2011-07-07,0.0,3.81,-0.51,43175.0,43175.0,66072.0,-0.017,0.23164,54400000.0,268700000.0,21.49625,0.0,0.0,2507194112.0,161575630.0,207396267.0,0.11883,0.00235,207396267.0,18.252,0.79936445,0,3.94,0,-0.46064138,1.5,2011-07-07,BSE,EQUITY,455400000.0,2.545,-191500000.0,347900000.0,37454.0,37454.0,3025911552.0,14.5,31.64,0.42388618,16.5666,0.869,1.327,7138500096.0,10.763,41.811,0,-0.015,0.09585,-0.02683,-0.05867,0.09835,14.8,14.5,14.5,14.97,14.8,3.7030456,0,3IINFOLTD.BO,3I INFOTECH LTD.,,Information Technology Services,Technology,14.59,0,0,0,0,0,none,0,-1.42,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,None,None,Hold,Trading near its 52-week low (bearish momentum)
882627,2026-01-21 19:32:31,3MINDIA.BO,1213.0,0,0,0,0,0,86400.0,2.0,33360.05,33350.0,34174.95,160.0,0.48,2025-07-25,0.32529998,0,-0.054,248.0,248.0,331.0,0.19186,0.33832002,5096061952.0,5931417088.0,31228.63,0.0,0.0,371433635840.0,2649559.0,11265070.0,0.7648,0.098000005,11265071.0,1429.572,23.8052,0.43,491.42,652.4,0.15133262,535.0,2025-07-25,BSE,EQUITY,6194625024.0,549.894,8733680640.0,1033188992.0,154.0,154.0,383364431872.0,25714.35,37384.85,8.069734,35147.965,1.525,2.281,47506456576.0,6.416,4217.117,0.43,0.14,0.41501,0.18384,0.19014,0.11665,33430.15,33360.05,33350.0,34174.95,33430.15,69.25084,52.163166,3MINDIA.BO,3M INDIA LTD.,3M India Limited,Conglomerates,Industrials,34031.25,35700.0,35700.0,35700.0,35700.0,0,none,1.0,1.8,2.5,Buy,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%),Hold,Strong Revenue Growth (>10%),Hold,No strong momentum
882628,2026-01-21 19:32:31,3PLAND.BO,1.0,0,0,0,0,0,86400.0,2.0,37.5,35.12,37.5,0,0,2010-08-18,0.0,0,-0.66,1054.0,1054.0,2568.0,0,0,0,5711000.0,44.0401,0.0,0.0,634659968.0,3679200.0,18000000.0,0.80727,0.0,18000000.0,93.033,0.37750044,0.042,1.18,0,-0.33289325,0.2,2010-08-18,BSE,EQUITY,2000000.0,0.111,28478000.0,0.0,266.0,266.0,632160000.0,30.79,58.69,13.872589,38.262,0.909,97.364,45569000.0,0,2.537,0.038,0.023,1.0,0.62494,0.74719,0.46527,35.37,37.5,35.12,37.5,35.37,29.762712,0,3PLAND.BO,3P LAND HOLDINGS LTD.,3P Land Holdings Limited,Real Estate Services,Real Estate,35.12,0,0,0,0,0,none,0,-0.71,2.1,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Highly Profitable with margins > 20%,Hold,Trading near its 52-week low (bearish momentum)
882629,2026-01-21 19:32:31,5PAISA.BO,539.0,0,0,0,0,0,86400.0,2.0,357.4,352.15,371.15,0,0,1990-01-01,0.0,0,0.192,15578.0,15578.0,107031.0,0,0,0,0,363.7745,0.0,0.0,1299564032.0,10812409.0,31239338.0,0.57341,0.115930006,31239339.0,200.815,1.7802454,-0.24,13.9,0,-0.123153925,0,1990-01-01,BSE,EQUITY,12819201024.0,410.645,0,2905526016.0,24267.0,24267.0,11168064512.0,287.95,431.8,3.9499388,334.125,0,0,2827401984.0,46.389,90.503,-0.237,-0.11,0.99967,0.0,0.23244,0.15349,359.2,357.4,352.15,371.15,359.2,25.719425,0,5PAISA.BO,5paisa Capital Limited,5paisa Capital Limited,Capital Markets,Financial Services,357.5,0,0,0,0,0,none,0,-0.47,1.8,Buy,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<2) indicates potential for growth,None,None,Hold,No strong momentum
882630,2026-01-21 19:32:31,63MOONS.BO,378.0,0,0,0,0,0,86400.0,2.0,608.45,604.5,648.4,1.2,0.2,2025-09-17,0.3854,5.9,0.483,12567.0,12567.0,20140.0,-0.04561,-0.01773,-1200462080.0,-1651331968.0,842.6727,0.0,0.0,6891286016.0,14857735.0,46078537.0,0.5798,0.0050700004,46078537.0,757.762,0.83198947,0,-7.03,0,-0.21707112,1.2,2025-09-17,BSE,EQUITY,22212327424.0,481.749,-2625664000.0,52994000.0,7948.0,7948.0,29050214400.0,591.0,1130.0,34.43919,741.654,8.641,9.924,843521984.0,0.148,18.306,0,-0.466,-0.7051,0.0,-4.61615,-0.36594,611.35,608.45,604.5,648.4,611.35,0,0,63MOONS.BO,63 Moons Technologies Limited,63 moons technologies limited,Software - Application,Technology,630.45,0,0,0,0,0,none,0,3.12,3.8,Underperform,Buy,Low Beta (less volatile than the market)- Pays a good dividend (>3%)- Price-to-Book ratio (<1) indicates undervalued assets,None,None,Hold,Trading near its 52-week low (bearish momentum)
882631,2026-01-21 19:32:31,7NR.BO,0,0,0,0,0,0,86400.0,4.0,3.81,3.5,3.85,0,0,2019-09-19,0.0,0,-0.467,21694.0,21694.0,33372.0,0.025880001,0.062030002,-30218750.0,-13355000.0,5.1428,0.0,0.0,142030800.0,21073804.0,28006800.0,0.22363001,0.0,28006800.0,10.524,0.35157734,0,0.63,0,-0.23265308,0,1990-01-01,BSE,EQUITY,9597000.0,0.344,18913000.0,46594000.0,22556.0,22556.0,103625160.0,3.41,8.33,0.40240905,4.0838,0.921,3.684,257512000.0,15.849,9.195,0,1.688,0.13972999,0.07345,0.10645001,0.06868,3.76,3.81,3.5,3.85,3.76,5.873016,0,7NR.BO,7NR Retail Limited,JPY/KMF,Apparel Retail,Consumer Cyclical,3.7,0,0,0,0,0,none,0,-1.6,2.6,Hold,Hold,Low Beta (less volatile than the market)- Price-to-Book ratio (<1) indicates undervalued assets,Hold,Strong Revenue Growth (>10%),Hold,Trading near its 52-week low (bearish momentum)
